Date,Description,Debit,Credit,Reference,Balance
2025-04-01,Opening Balance,,,OPENING-2025,3200000.00
2025-04-03,NEFT from City Hospital - Invoice INV-MDX-2025-0041,,500000.00,NEFT-CH-2025-001,3700000.00
2025-04-07,RTGS to Cipla Ltd for Q1 purchases,450000.00,,RTGS-CIPLA-2025-001,3250000.00
2025-04-10,NEFT from HealthFirst Pharmacy - Inv INV-MDX-2025-0042,,300000.00,NEFT-HF-2025-001,3550000.00
2025-04-14,Bank Charges - ICICI Bank April,1250.00,,CHQ-ICICI-2025-001,3548750.00
2025-04-18,NEFT from Wellness Pharmacy - Inv INV-MDX-2025-0043,,275000.00,NEFT-WP-2025-001,3823750.00
2025-04-22,RTGS to Sun Pharma for April orders,380000.00,,RTGS-SUN-2025-001,3443750.00
2025-04-25,NEFT from MedPlus Chemist Gujarat - Inv INV-MDX-2025-0044,,420000.00,NEFT-MPC-2025-001,3863750.00
2025-04-28,RTGS to Dr Reddy's Labs Hyderabad,290000.00,,RTGS-DRL-2025-001,3573750.00
2025-05-02,NEFT from Lifeline Medical Store Bangalore,,350000.00,NEFT-LMS-2025-001,3923750.00
2025-05-06,RTGS to Himalaya Wellness Bangalore,200000.00,,RTGS-HW-2025-001,3723750.00
2025-05-10,Payment to Cipla Ltd for April purchases,600000.00,,MDX-PAY-2025-0001,3123750.00
2025-05-15,Receipt from City Hospital for April,900000.00,,MDX-RECP-2025-0001,4023750.00
2025-05-18,NEFT from City Hospital - Inv INV-MDX-2025-0045,,450000.00,NEFT-CH-2025-002,4473750.00
2025-05-20,Payment to Sun Pharma for April purchases,400000.00,,MDX-PAY-2025-0002,4073750.00
2025-05-22,RTGS to Becton Dickinson Pune,320000.00,,RTGS-BD-2025-001,3753750.00
2025-05-25,NEFT from HealthFirst Pharmacy - Inv INV-MDX-2025-0046,,380000.00,NEFT-HF-2025-002,4133750.00
2025-05-28,Bank Charges - ICICI Bank May,1250.00,,CHQ-ICICI-2025-002,4132500.00
2025-06-02,NEFT from Wellness Pharmacy - Inv INV-MDX-2025-0047,,290000.00,NEFT-WP-2025-002,4422500.00
2025-06-05,RTGS to Cipla Ltd for May orders,520000.00,,RTGS-CIPLA-2025-002,3902500.00
2025-06-10,Receipt from HealthFirst for May,400000.00,,MDX-RECP-2025-0002,4302500.00
2025-06-12,NEFT from MedPlus Chemist - Inv INV-MDX-2025-0048,,350000.00,NEFT-MPC-2025-002,4652500.00
2025-06-15,Payment to Dr Reddy's for June purchase,250000.00,,MDX-PAY-2025-0003,4402500.00
2025-06-18,RTGS to Sun Pharma for May orders,380000.00,,RTGS-SUN-2025-002,4022500.00
2025-06-20,NEFT from City Hospital - Inv INV-MDX-2025-0049,,600000.00,NEFT-CH-2025-003,4622500.00
2025-06-23,NEFT from Lifeline Medical Store - Inv INV-MDX-2025-0050,,280000.00,NEFT-LMS-2025-002,4902500.00
2025-06-25,Receipt from MedPlus for May-June,500000.00,,MDX-RECP-2025-0003,5402500.00
2025-06-28,Bank Charges - ICICI Bank June,1250.00,,CHQ-ICICI-2025-003,5401250.00
2025-07-01,Payment to Himalaya for ayurvedic stock,180000.00,,MDX-PAY-2025-0004,5221250.00
2025-07-03,NEFT from HealthFirst Pharmacy - Inv INV-MDX-2025-0051,,420000.00,NEFT-HF-2025-003,5641250.00
2025-07-06,RTGS to Becton Dickinson Pune,350000.00,,RTGS-BD-2025-002,5291250.00
2025-07-09,NEFT from Wellness Pharmacy - Inv INV-MDX-2025-0052,,310000.00,NEFT-WP-2025-003,5601250.00
2025-07-12,RTGS to Cipla Ltd for June orders,480000.00,,RTGS-CIPLA-2025-003,5121250.00
2025-07-15,Payment to BD India for surgical supplies,350000.00,,MDX-PAY-2025-0005,4771250.00
2025-07-18,NEFT from MedPlus Chemist Gujarat - Inv INV-MDX-2025-0053,,380000.00,NEFT-MPC-2025-003,5151250.00
2025-07-20,Receipt from City Hospital for June-July,1200000.00,,MDX-RECP-2025-0004,6351250.00
2025-07-22,RTGS to Dr Reddy's Labs for June orders,310000.00,,RTGS-DRL-2025-002,6041250.00
2025-07-25,NEFT from Lifeline Medical Store - Inv INV-MDX-2025-0054,,290000.00,NEFT-LMS-2025-003,6331250.00
2025-07-28,Bank Charges - ICICI Bank July,1250.00,,CHQ-ICICI-2025-004,6330000.00
2025-08-01,NEFT from City Hospital - Inv INV-MDX-2025-0055,,550000.00,NEFT-CH-2025-004,6880000.00
2025-08-04,RTGS to Sun Pharma for July orders,420000.00,,RTGS-SUN-2025-003,6460000.00
2025-08-07,NEFT from HealthFirst Pharmacy - Inv INV-MDX-2025-0056,,340000.00,NEFT-HF-2025-004,6800000.00
2025-08-10,RTGS to Himalaya Wellness for July stock,220000.00,,RTGS-HW-2025-002,6580000.00
2025-08-13,NEFT from Wellness Pharmacy - Inv INV-MDX-2025-0057,,275000.00,NEFT-WP-2025-004,6855000.00
2025-08-16,RTGS to Becton Dickinson Pune,380000.00,,RTGS-BD-2025-003,6475000.00
2025-08-19,NEFT from MedPlus Chemist - Inv INV-MDX-2025-0058,,410000.00,NEFT-MPC-2025-004,6885000.00
2025-08-22,RTGS to Cipla Ltd for July orders,550000.00,,RTGS-CIPLA-2025-004,6335000.00
2025-08-25,NEFT from City Hospital - Inv INV-MDX-2025-0059,,480000.00,NEFT-CH-2025-005,6815000.00
2025-08-28,Bank Charges - ICICI Bank August,1250.00,,CHQ-ICICI-2025-005,6813750.00
